domain,ip1,ip2,ip3,ip4,ip5,ip6,mx1,mx2,,,,,,,,,
886ventures.com, 64.235.153.10,64.235.150.252,64.235.154.140,64.235.153.2,64.235.154.105,64.235.154.109, d36208b.ess.barracudanetworks.com,d36208a.ess.barracudanetworks.com,,,,,,,,,
apps-on-tap.com, 64.235.154.140,64.235.150.252,64.235.154.105,64.235.154.109,64.235.153.10,64.235.153.2, d18380b.ess.barracudanetworks.com,d18380a.ess.barracudanetworks.com,,,,,,,,,
ashtonconsulting.com, 64.235.154.109,64.235.150.252,64.235.153.2,64.235.153.10,64.235.154.105,64.235.154.140, d35521a.ess.barracudanetworks.com,d35521b.ess.barracudanetworks.com,,,,,,,,,
cobaltcomputers.com, 64.235.150.252,64.235.154.109,64.235.154.105,64.235.153.10,64.235.153.2,64.235.154.140, d45489b.ess.barracudanetworks.com,d45489a.ess.barracudanetworks.com,,,,,,,,,
digginsrose.com, 64.235.154.105,64.235.153.10,64.235.153.2,64.235.154.140,64.235.150.252,64.235.154.109, d35637a.ess.barracudanetworks.com,d35637b.ess.barracudanetworks.com,,,,,,,,,
crosssoundcable.com, 216.32.181.74,216.32.181.106,,,,, crosssoundcable-com.mail.protection.outlook.com,,,,,,,,,,
deloughrey.com, 64.235.153.10,64.235.154.140,64.235.154.105,64.235.150.252,64.235.154.109,64.235.153.2, d35548a.ess.barracudanetworks.com,d35548b.ess.barracudanetworks.com,,,,,,,,,
discoverlehighvalley.com, 64.235.154.109,64.235.153.10,64.235.154.105,64.235.150.252,64.235.154.140,64.235.153.2, d45491b.ess.barracudanetworks.com,d45491a.ess.barracudanetworks.com,,,,,,,,,
cmcorporation.com, 64.235.154.109,64.235.150.252,64.235.153.10,64.235.154.140,64.235.154.105,64.235.153.2, d47577b.ess.barracudanetworks.com,d47577a.ess.barracudanetworks.com,,,,,,,,,
ecdentaldesign.com, 64.235.154.105,64.235.153.2,64.235.150.252,64.235.154.140,64.235.154.109,64.235.153.10, d44784b.ess.barracudanetworks.com,d44784a.ess.barracudanetworks.com,,,,,,,,,
exsifww.com, 64.235.153.10,64.235.154.105,64.235.154.140,64.235.153.2,64.235.154.109,64.235.150.252, d39258b.ess.barracudanetworks.com,d39258a.ess.barracudanetworks.com,,,,,,,,,
fiber-line.com, 64.235.153.2,64.235.154.105,64.235.154.140,64.235.154.109,64.235.153.10,64.235.150.252, d55027b.ess.barracudanetworks.com,d55027a.ess.barracudanetworks.com,,,,,,,,,
etelmar.co.uk, 64.235.153.10,64.235.154.105,64.235.154.140,64.235.150.252,64.235.153.2,64.235.154.109, d40693b.ess.barracudanetworks.com,d40693a.ess.barracudanetworks.com,,,,,,,,,
iquum.com, 64.235.150.252,64.235.154.140,64.235.154.105,64.235.154.109,64.235.153.10,64.235.153.2, d35645a.ess.barracudanetworks.com,d35645b.ess.barracudanetworks.com,,,,,,,,,
jnj-industries.com, 64.235.154.109,64.235.153.10,64.235.150.252,64.235.154.105,64.235.153.2,64.235.154.140, d35601a.ess.barracudanetworks.com,d35601b.ess.barracudanetworks.com,,,,,,,,,
interactiveliquid.com, 64.235.153.2,64.235.150.252,64.235.154.140,64.235.153.10,64.235.154.109,64.235.154.105, d18360b.ess.barracudanetworks.com,d18360a.ess.barracudanetworks.com,,,,,,,,,
kaganhome.com, 64.235.154.109,64.235.150.252,64.235.153.10,64.235.153.2,64.235.154.140,64.235.154.105, d35525a.ess.barracudanetworks.com,d35525b.ess.barracudanetworks.com,,,,,,,,,
litetouch.com, 64.235.150.252,64.235.153.10,64.235.154.109,64.235.154.105,64.235.153.2,64.235.154.140, d36556a.ess.barracudanetworks.com,d36556b.ess.barracudanetworks.com,,,,,,,,,
mancuso-nowak.com, 64.235.153.2,64.235.153.10,64.235.154.105,64.235.154.109,64.235.150.252,64.235.154.140, d35593a.ess.barracudanetworks.com,d35593b.ess.barracudanetworks.com,,,,,,,,,
massbaytech.com, 64.235.153.10,64.235.153.2,64.235.154.109,64.235.150.252,64.235.154.105,64.235.154.140, d35599b.ess.barracudanetworks.com,d35599a.ess.barracudanetworks.com,,,,,,,,,
lvsclays.com, 64.235.150.252,64.235.154.140,64.235.153.10,64.235.153.2,64.235.154.105,64.235.154.109, d18386b.ess.barracudanetworks.com,d18386a.ess.barracudanetworks.com,,,,,,,,,
nradirector.com, 64.235.153.2,64.235.154.109,64.235.150.252,64.235.154.140,64.235.154.105,64.235.153.10, d18389b.ess.barracudanetworks.com,d18389a.ess.barracudanetworks.com,,,,,,,,,
racepointmanagement.com, 64.235.153.2,64.235.154.140,64.235.154.105,64.235.150.252,64.235.154.109,64.235.153.10, d51687a.ess.barracudanetworks.com,d51687b.ess.barracudanetworks.com,,,,,,,,,
savant.com, 64.235.154.140,64.235.150.252,64.235.154.105,64.235.153.2,64.235.154.109,64.235.153.10, d57172a.ess.barracudanetworks.com,d57172b.ess.barracudanetworks.com,,,,,,,,,
racepointmedia.com, 64.235.150.252,64.235.154.105,64.235.153.2,64.235.154.109,64.235.154.140,64.235.153.10, d36207a.ess.barracudanetworks.com,d36207b.ess.barracudanetworks.com,,,,,,,,,
